MODEL,OUR PRICE,OFFER,ACTUAL PRICE
"INNOTRICS 32IN PRO II - 32"" LED",₹7490,62%off,₹20000
"INNOTRICS 32IN SMART PRO - 32"" LED",₹10991,56%off,₹25000
OnePlus Y Series 80 cm (32 inch) HD Ready LED Smart Android TV  (32Y1-32HA0A00),₹15900,20%off,₹19999
"LG 80cm (32 Inch) HD Ready LED Smart TV (32LM560BPTC, Black)",₹16800,25%off,₹22490
LG 81.28 cm (32 inch) Full HD LED Smart TV  (32LQ570BPSA),₹17400,18%off,₹21240
Haier 80 cm (32 inch) HD Ready LED TV (LE32W2000),₹17500,37%off,₹27990
TCL P715 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Full Screen & Handsfree Voice Control  (43P715),₹22990,61%off,₹59990
"Haier 109 cm (43 inches) UHD Smart Android LED TV ( LE43K7500UGA,Black)",₹26352,48%off,₹50990
Lloyd 109 cm (43 Inches) Full HD Smart LED TV GL43F4H1WA - 43FS301D (Black) (2022 Model),₹26900,37%off,₹42990
METZ (43 Inch) 4K Smart  Android TV  SKYWORTH METZ M43U2 (black) (2019 Model),₹28000,29%off,₹39990
Samsung 108 cm (43 inches) Full HD LED Smart TV UA43T5350AKXXL (Glossy Black) (2020 Model),₹28490,32%off,₹42400
SAMSUNG 108 cm (43 inch) Ultra HD (4K) LED Smart TV  (UA43AU7600),₹28582,40%off,₹47900
LG 43LM5760PTC 43 inch Full HD Smart LED TV,₹30921,29%off,₹43990
LG 43UP7740PTZ 43 Inch 109.22cm 4K Smart UHD TV,₹30999,48%off,₹59990
Sony Bravia 108 cm (43 inches) Full HD Smart LED TV 43W6600 (Black) (2020 Model),₹36971,31%off,₹53900
Lloyd 55 Inches 4K UHD Smart LED TV (55US850C),₹38000,57%off,₹89990
LG 43NANO75TPZ 43 inch 4K (Ultra HD) LED TV,₹38003,49%off,₹74990
SAMSUNG 139 cm (55 inch) Ultra HD (4K) LED Smart Tizen TV  (UA55AU7600KXXL),₹40869,42%off,₹70900
LG 139 cm (55 inch) Ultra HD (4K) LED Smart TV  (55UQ7550PSF),₹41499,42%off,₹71990
SONY X70L 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV  (KD-43X70L),₹42290,29%off,₹59900
SONY X75L 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV  (KD-43X75L),₹44990,35%off,₹69900
Samsung CU8000 43 inch Ultra HD 4K Smart LED TV (UA43CU8000KLXL),₹45490,17%off,₹54900
Samsung 55 inch (138 cm) Crystal Ultra HD (4K) Smart TV LED UA55AU7700,₹46284,41%off,₹79400
"Lloyd 146cm (58 Inches) Ultra HD Android Smart LED TV (58US900C), Black",₹47990,52%off,₹99990
LG 139.7 cm (55 Inches) 4K Ultra HD Smart LED TV 55UP7740 (Black) (2021 Model),₹47996,46%off,₹89990
SONY X70L 125.7 cm (50 inch) Ultra HD (4K) LED Smart Google TV  (KD-50X70L),₹52190,30%off,₹74900
Sony Bravia 125 cm (50 inches) Full HD LED Smart TV KLV50W672G (Black) (2019 Model),₹54171,27%off,₹74900
LG 139 cm (55 inches) 4K Ultra HD Smart NaNoCell TV 55NANo86TNA (Light Steel Silver) (2020 Model),₹82492,48%off,₹159990
"Sony Bravia X85J Series 139cm (55 Inch) Ultra HD 4K LED Google Smart TV (4K HDR processor X1, KD-55X85J, Black)",₹90240,35%off,₹139900
